Metric,Value
Total Execution Time (s),5.095728158950806
Success Rate (%),95.0
Average Best Fitness,-0.9997848680430508
Best Solution Found,-0.9999997737728242
Chromosome for Best Solution,[7.13801723126739e-05, 3.384702573805409e-05]
Mean of Optimal Points,[0.0006993100155559817, 0.0009129512527591199]
Standard Deviation of Optimal Points,[0.0006836579044680232, 0.0020374148380764524]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,20
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExperiment_POP100
