Metric,Value
Total Execution Time (s),10.134061574935913
Success Rate (%),8.0
Average Best Fitness,-0.9658629225104692
Best Solution Found,-0.9995627135898534
Chromosome for Best Solution,[0.003210382422916158, 0.001326004919129542]
Mean of Optimal Points,[0.029757985453139985, 0.027922043189621645]
Standard Deviation of Optimal Points,[0.18681555204623473, 0.16190487518872487]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,50
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,1.125
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-Wave
