Metric,Value
Total Execution Time (s),86.25582528114319
Success Rate (%),92.0
Average Best Fitness,-0.9948896050918223
Best Solution Found,-1.0
Chromosome for Best Solution,[1.1968360855877302e-10, -1.2295441717671068e-09]
Mean of Optimal Points,[3.727417379878614e-05, 2.7765052998566814e-05]
Standard Deviation of Optimal Points,[0.0005256006788410745, 0.00014802600090781904]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-Wave
