Metric,Value
Total Execution Time (s),15.596354722976685
Success Rate (%),14.000000000000002
Average Best Fitness,0.004246117094840946
Best Solution Found,2.739250143370116e-05
Chromosome for Best Solution,[0.999528874629338, 1.002729925763232]
Mean of Optimal Points,[1.0002015869845844, 0.9978144392691055]
Standard Deviation of Optimal Points,[0.004547553642032768, 0.04499420984659242]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,50
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,1.6875
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
IDENTIFIER,Levi
