Metric,Value
Total Execution Time (s),49.38577842712402
Success Rate (%),100.0
Average Best Fitness,6.931186853893761e-06
Best Solution Found,4.344423405276921e-16
Chromosome for Best Solution,[1.0000000019259585, 0.999999989937808]
Mean of Optimal Points,[0.9999762205854817, 1.0000000017900224]
Standard Deviation of Optimal Points,[0.0002726099263058269, 0.0004528774520905827]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Levi
