Metric,Value
Total Execution Time (s),16.73837637901306
Success Rate (%),18.0
Average Best Fitness,-0.937953756796268
Best Solution Found,-0.9987974133912146
Chromosome for Best Solution,[0.0038341147860506686, -0.00429974025923241]
Mean of Optimal Points,[0.1824524668768685, 0.24259807166002975]
Standard Deviation of Optimal Points,[0.25803529198627706, 0.3008442184296789]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-10
UPPER_BOUND,10
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.2
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.2
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.1
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR20
