Execution,BestFitness,BestSolution
1,-0.9985558449536217,[0.004836891965178539, 0.004057408273494044]
2,-0.9998036540146923,[-0.0023274011216246433, -1.411042746097017e-06]
3,-0.9989014824507363,[0.00218433612947444, -0.005054086283104947]
4,-0.9362452939462608,[-0.20885146876484878, 0.47648522591971354]
5,-0.9362404924356241,[-0.163139896401173, 0.494370947775163]
6,-0.9361940270775012,[0.4351154505827767, 0.28736747833775944]
7,-0.9990328207562885,[-0.004242513572017659, 0.002947974089975304]
8,-0.9362422771285193,[0.35746872853788825, 0.3775292880193863]
9,-0.9362452811031098,[0.4409792662447775, 0.2759037934724275]
10,-0.9999579606064031,[-0.0010727356824385707, -9.466746822427651e-05]
11,-0.9938500155089253,[-0.013035873335456583, 0.0002685398041172573]
12,-0.99994325070571,[0.00021944210366594462, 0.0012318168519835776]
13,-0.9997602138498121,[0.0007441803700520186, 0.0024620151052032746]
14,-0.9969745574695428,[0.009041072514705095, -0.0013432726938343853]
15,-0.9362430415817663,[0.4999078796407884, 0.14299041192501524]
16,-0.9360927604293926,[0.11931941849941063, 0.5041674844028498]
17,-0.9807565456940964,[0.0013075607035161006, 0.02307831712037245]
18,-0.9362440357603242,[0.4843460922988292, 0.1903581359341326]
19,-0.9362453275852836,[0.0858475576532673, 0.5130858510921149]
20,-0.9362452327362766,[0.5026305608951129, 0.1343199166784969]
21,-0.9362440263320039,[0.22467750803443837, 0.46941252045541104]
22,-0.9866649172491443,[-0.0076013114805984355, 0.017656239110704547]
23,-0.9999712418779243,[0.0008906746977199657, 5.809145785577144e-06]
24,-0.9941155847007236,[-0.008461874331910924, 0.009541855559414003]
25,-0.9361789825274589,[0.1372664040052264, -0.5032290955219786]
26,-0.9995720722849201,[0.0034272908400996126, 0.0002455115987714217]
27,-0.999513258436453,[0.0023952145704159624, -0.0027735347281739493]
28,-0.9967318348967418,[-0.006497051508757012, -0.006931354183001531]
29,-0.9892331377249182,[0.017260717417150073, -0.0004051291214330932]
30,-0.9976635717113677,[5.568046364657253e-05, 0.008031232932999184]
31,-0.9362444266735337,[-0.33246603158398735, -0.39990122088415014]
32,-0.9362451045931185,[0.4879774393109848, 0.18004954921678884]
33,-0.9362452655553247,[-0.4353170521591153, 0.28474324404842927]
34,-0.9362453056288925,[0.43537397456748816, 0.28478121270566836]
35,-0.9362422180389143,[0.1764274350338496, -0.489706807756759]
36,-0.9362423942552988,[0.4005662271383734, 0.33238085468848944]
37,-0.9362442989976794,[-0.16186236159211254, 0.49457664662298034]
38,-0.9763119532308904,[0.025636734366237257, 0.0012180417919372966]
39,-0.9999352912083115,[0.0013165546802299177, -0.00022758001112828385]
40,-0.9362424268844785,[0.1263423828013837, -0.5043387838133118]
41,-0.999800403851719,[-0.00012376290742416307, -0.0023433207847766147]
42,-0.9794305244788031,[0.00015727375733208884, 0.023903354618897366]
43,-0.9362442740127204,[0.5167153517278861, -0.05870344020001234]
44,-0.9948871839318363,[0.005768044525751748, 0.010393054089775412]
45,-0.999885211171314,[0.0010189530693770002, -0.001458919131344395]
46,-0.9362452711395126,[-0.33043039294755283, 0.40184887353423493]
47,-0.9362450255184068,[0.29555623858245905, 0.428216044067347]
48,-0.9362289900668579,[0.3691352465957314, 0.36754058297397907]
49,-0.9360621379083535,[0.1535059300591345, 0.499483843089153]
50,-0.9974653062481711,[0.0015945944597133277, 0.008212150949106545]
51,-0.936245247667434,[0.3802120763534548, 0.35512474799537297]
52,-0.9993459841427262,[0.0016486681919382052, 0.0039150570691828136]
53,-0.936230274074264,[0.2167950544156625, 0.4721560907919886]
54,-0.9800038220097015,[-0.007717168281400288, 0.022266710714529903]
55,-0.9362451883707283,[0.4255182261531794, 0.299374662218334]
56,-0.9362452601523126,[0.06256112706729751, 0.5163950640687894]
57,-0.9988072589422771,[0.005539352616427712, 0.0014939729240336375]
58,-0.9362453277950948,[0.05041788033988471, -0.5177659940964092]
59,-0.9362451903104657,[0.13922686350206603, 0.501304661761383]
60,-0.9362453257112343,[0.08378838695923532, 0.5134155751087702]
61,-0.9362425444371267,[-0.08545938491474736, 0.5134384945527877]
62,-0.9985984717645965,[-0.004958407737887803, 0.003754363062508259]
63,-0.9998293585889564,[-0.0020736447430174973, 0.0006384484239894128]
64,-0.9362452914580837,[0.3582659522760114, 0.37714144817504874]
65,-0.9995629444981274,[-0.0034723930135727565, 3.097342013420965e-05]
66,-0.9362377309514301,[0.42144455053955815, 0.3057799967374222]
67,-0.9982047055661945,[0.006767007729930033, -0.0019398046547813852]
68,-0.9362453276429046,[0.49657146278098907, -0.15505903827013756]
69,-0.9362447199046143,[-0.30374203041240627, 0.42216788210528616]
70,-0.9362453206287752,[0.46734786996827793, 0.22846237712730355]
71,-0.9507835544798172,[0.0371324013101999, 0.0013848269404844737]
72,-0.9964783901703146,[-0.00013942018713434222, 0.00986121021743358]
73,-0.9999806765737443,[0.0007296145382816174, 2.694656860602329e-05]
74,-0.9939914095104376,[0.00017326344108696805, 0.012886410158460704]
75,-0.9993858386148984,[0.003944421473542015, -0.0011778862260613907]
76,-0.9362438885173504,[0.280820793720587, 0.43815328754355176]
77,-0.9362453213819356,[-0.4453012178762705, 0.2689709570794772]
78,-0.9362441881304322,[0.32376271282306346, 0.40742202627805557]
79,-0.9362446926946026,[0.44102451958368216, -0.2756433059982815]
80,-0.9748456695974104,[-0.007769568009882918, 0.025288044222868]
81,-0.9362453272701152,[-0.41932286192043083, 0.3078772834451659]
82,-0.9362453083457517,[0.26456358277753467, 0.447889956843212]
83,-0.999823410358511,[0.002183078083224582, -0.00032541855424764177]
84,-0.9609358296712719,[0.02255164927927969, 0.02415549390510474]
85,-0.9521998807249596,[0.0007112549184770667, 0.036603716674718845]
86,-0.9362432387658886,[0.04873020453923369, 0.5176788772305921]
87,-0.936245320384594,[0.1095123931525678, 0.5085731585071371]
88,-0.9999807750973656,[-0.0004076154950255122, 0.0006034858507691721]
89,-0.9362453059892527,[-0.4963868587230017, 0.15572638269531908]
90,-0.944226763043423,[0.016397039790391588, 0.03604722668841237]
91,-0.936241136046547,[0.2885755723405249, 0.4324149545198677]
92,-0.9999981959808493,[-0.00016875847039349485, -0.00014589946655160617]
93,-0.94852318304241,[0.01219070669446598, -0.03600932003939672]
94,-0.9999664200546522,[-0.0009624723880209407, -8.144214269152028e-07]
95,-0.9362007125204534,[0.49198771265258306, 0.1654698435875639]
96,-0.9362453277989233,[-0.1898646438036673, 0.48433065283718046]
97,-0.9999705132030209,[-0.0008958079873153113, -0.00010471381393389943]
98,-0.9362448866287515,[0.05274108805792481, 0.5176497783043665]
99,-0.9362452950488371,[0.11620040695813993, 0.5071035714865562]
100,-0.9362436504998435,[0.44877174656357605, 0.26355188153356546]
