Generation,Value,StdDev
0,19.907189731268687,26.873945435118213
1,5.939607852249338,9.836014712634983
2,1.8143245182385965,3.4255723525724333
3,0.7848914092637199,2.2896269500819817
4,0.3487765357920242,1.2689645389411246
5,0.1717281544724993,0.5287179274957106
6,0.13056753579562386,0.49268827760743406
7,0.0804395582699846,0.3017379535319255
8,0.045527689382201225,0.13178546136799102
9,0.031058663840772424,0.08192194493603742
10,0.01888011517615148,0.04779284460429809
11,0.014539252793418172,0.04537264197046174
12,0.0070205513130275265,0.01402411727115852
13,0.00524238105041569,0.012673433203774231
14,0.004596180410267448,0.012269576220168624
15,0.004308615127635538,0.012197799181263708
16,0.0036707971299509484,0.010155728935880057
17,0.0028956273710250553,0.008321361163129095
18,0.0017438837365096247,0.004468424831857051
19,0.0009576181661985515,0.0026195436583010497
20,0.0007517964118512093,0.002413557653417199
21,0.0006679375435983627,0.002390752493058153
22,0.0006494247047876407,0.0023915112530108603
23,0.0005898321953076848,0.0023663962474431348
24,0.0005251503043890679,0.0023368865143547817
25,0.00031860098167417754,0.0011256054406005341
26,0.00029140185544573866,0.0011007574124906891
27,0.00024778662657566484,0.0010544643677204315
28,0.00024000206731606793,0.0010538909800249258
29,0.0002169240202161714,0.0009678853136149316
30,0.00020478789398062158,0.0009589653673531523
31,0.00013774556512818884,0.00047916048972644897
32,0.00012012664928775153,0.00043630505073640315
33,0.00010972136440696926,0.00042787281431657764
34,8.093047253508788e-05,0.0003851967125397345
35,4.470030361434334e-05,0.00011777474499884034
36,3.9461443359782705e-05,0.00010254779929824679
37,2.9477477382973456e-05,8.670438725364686e-05
38,2.921736952032896e-05,8.664461094455236e-05
39,2.4662453080085784e-05,7.966649952139746e-05
40,2.2222326517432204e-05,7.241452777642448e-05
41,1.9465813510758128e-05,6.887992430506616e-05
42,1.9226959697759428e-05,6.87641003845808e-05
43,1.8829802844137856e-05,6.877970238141452e-05
44,1.849664841748179e-05,6.881115516124346e-05
45,1.347052682660228e-05,3.5306443876662724e-05
46,1.1983608041765485e-05,3.233091932692659e-05
47,9.832991825674809e-06,2.9759558035143313e-05
48,6.7187730544512736e-06,2.205418939893056e-05
49,6.288591632618872e-06,2.1498844946638667e-05
50,6.240272530257413e-06,2.1503945715492023e-05
51,6.225170193599392e-06,2.150516994405701e-05
52,5.942546981555222e-06,2.1148691707389745e-05
53,5.926051997488086e-06,2.115244614694175e-05
54,5.918723819501593e-06,2.115355237219642e-05
55,5.864104930075686e-06,2.116098497886416e-05
56,5.8217368355359885e-06,2.116686956776841e-05
57,5.811552831570604e-06,2.116894986988207e-05
58,5.548994411802194e-06,2.1014606891226742e-05
59,5.539239669975164e-06,2.1016775841760072e-05
60,5.113993638636869e-06,2.07427198923617e-05
61,5.058812303569678e-06,2.0741308750586184e-05
62,3.2949042368152647e-06,7.748465680258877e-06
63,2.812546677727649e-06,7.033390624476547e-06
64,2.3808954184157615e-06,6.096899526475332e-06
65,2.290348582469304e-06,6.060181316202409e-06
66,2.2351568636361485e-06,6.051561613896467e-06
67,2.2121617683499737e-06,6.057165849260167e-06
68,2.1929887851255895e-06,6.061701808678182e-06
69,2.183657332902177e-06,6.045808027987171e-06
70,2.1829725400355513e-06,6.0460183643073335e-06
71,1.852020713883654e-06,4.702545695505032e-06
72,1.8129077804779825e-06,4.689433526503999e-06
73,1.8058932918625574e-06,4.690066326775485e-06
74,1.8025599042023726e-06,4.691129365944974e-06
75,1.7887031806277082e-06,4.68857917137898e-06
76,1.695397315922171e-06,4.445902598170414e-06
77,1.6672611412465945e-06,4.438691191002115e-06
78,1.5866951507245308e-06,4.420377970476848e-06
79,1.478422828448816e-06,4.391408235979238e-06
80,1.4697512986715574e-06,4.392795317313029e-06
81,1.3667337204017855e-06,4.256213625616303e-06
82,1.3009738734316672e-06,4.212250006898868e-06
83,1.2959737970072924e-06,4.213183772101254e-06
84,1.211395146507775e-06,4.0076454182339824e-06
85,1.200020578933757e-06,4.005313496107711e-06
86,1.168996738237633e-06,3.997141256088316e-06
87,1.1538334331619738e-06,3.991092586032593e-06
88,9.942669034072982e-07,3.2936343982701177e-06
89,9.936206726788996e-07,3.2935601620785367e-06
90,9.3575539706806e-07,3.1823340618846355e-06
91,7.68448698290335e-07,2.163682069052605e-06
92,6.692592241332373e-07,1.8725407853803298e-06
93,6.201377167014972e-07,1.8327373126222171e-06
94,6.070336337525006e-07,1.824957223038268e-06
95,5.936703324811128e-07,1.80477006805753e-06
96,5.662338340510217e-07,1.793612514116952e-06
97,5.649160061017706e-07,1.7939280047273093e-06
98,5.598012600782585e-07,1.7948957233060256e-06
99,5.597974456271895e-07,1.794896884016683e-06
