Metric,Value
Total Execution Time (s),13.734084367752075
Success Rate (%),96.0
Average Best Fitness,0.0002759522713756379
Best Solution Found,1.6857203051960365e-09
Chromosome for Best Solution,[1.0000007607647516, 0.9999595805494914]
Mean of Optimal Points,[1.000067980257224, 0.9999557675466907]
Standard Deviation of Optimal Points,[0.0017099195046880596, 0.0017906220807427506]

CONFIGURATION
POPULATION_SIZE,50
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.22500000000000003
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_POP50
