Metric,Value
Total Execution Time (s),98.79219198226929
Success Rate (%),69.0
Average Best Fitness,-0.9818338594675967
Best Solution Found,-0.9999999959277033
Chromosome for Best Solution,[2.392874073023714e-07, -1.059631830150579e-05]
Mean of Optimal Points,[-1.5583891157953607e-05, 0.00016969272682033015]
Standard Deviation of Optimal Points,[0.001193410728037605, 0.001331090199682656]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.4
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_CR40
