Execution,BestFitness,BestSolution
1,-0.9999999991667743,[-3.5915727345739733e-06, 3.175868849629775e-06]
2,-0.999999671888837,[-4.0018918008843376e-05, 8.631239554401613e-05]
3,-0.9362453277598531,[-0.3817297082012747, 0.35342311266417825]
4,-0.9999999999976303,[-1.6499887191915266e-07, -1.9530395563946383e-07]
5,-0.9362453278079418,[-0.07765875028774084, -0.5143863785183209]
6,-0.9999999931820291,[1.371429362330091e-05, 1.0332187961612106e-08]
7,-0.9962938192362741,[-0.010116371654873222, -0.00016102669544455666]
8,-0.9999997638901014,[-1.128938015823096e-08, 8.070549483627713e-05]
9,-0.9362453278079418,[0.0985639437561602, 0.5107928910962329]
10,-0.9362453278061137,[-0.4034905634939005, 0.3283593068934221]
11,-0.9362453277322778,[-0.4381736830422467, 0.2804041672939529]
12,-0.9999999534192374,[-2.54721501166006e-07, -3.584580436184069e-05]
13,-0.9999828394378284,[5.764526001991971e-05, 0.0006856198431062248]
14,-0.9999999629051387,[-5.1081390602036725e-06, -3.157868655675799e-05]
15,-0.9999996319675173,[-0.00010076015791677133, -1.0973368965691058e-07]
16,-0.9999999358405351,[1.0836024917032782e-05, 4.065091474808255e-05]
17,-0.9999624117882123,[0.0009802988859606734, 0.00027557823545364644]
18,-0.9999999418563772,[-3.9217912766163136e-05, -8.118950529134006e-06]
19,-0.9999999282496002,[-4.448627687055324e-05, -5.409151094951067e-07]
20,-0.999999767404292,[-8.010264556782451e-05, 1.0819133034908443e-10]
21,-0.999894479039618,[7.517595603954682e-06, -0.001706156392416253]
22,-0.999999999192258,[-6.15347716634341e-08, 4.720037133267461e-06]
23,-0.9362453273322441,[-0.49420208979024993, -0.16243344884498448]
24,-0.9999999694708515,[2.902038608475844e-05, 2.4695173352255925e-08]
25,-0.99999077099323,[0.0005045731650246161, -4.2480442465550304e-12]
26,-0.9362453277666583,[-0.2298025931358275, 0.4667053116244708]
27,-0.9999990530109446,[-1.567405036199932e-05, 0.00016086692780162282]
28,-0.9362453164331596,[0.101767953743646, -0.5101828761480848]
29,-0.9999980983759801,[2.878320539335361e-06, 0.00022902039736649726]
30,-0.9362453256322653,[-0.2946655095515222, -0.42870518004191804]
31,-0.9999999642552075,[-7.063625584173597e-06, -3.059686980380627e-05]
32,-0.9362453278078465,[-0.41227279962515373, -0.31726238590627487]
33,-0.9362453278079418,[-0.5132897704699106, 0.0846040117226725]
34,-0.9999999927270664,[-1.415837270262791e-05, -4.1609488571272333e-07]
35,-0.9999999992686833,[4.4911640836635924e-06, -6.082810635479035e-08]
36,-0.9998965187040402,[2.620260900741914e-06, 0.0016896001691571083]
37,-0.9362452050610794,[-0.38436533562159403, 0.350642435035473]
38,-0.9851756672470882,[0.016542466974517583, -0.011719428470708726]
39,-0.9999997691327444,[-7.980446332507248e-05, 1.4691155851451558e-09]
40,-0.9999999999999809,[-6.015759814972612e-10, 2.2936812621326693e-08]
41,-0.9999963917731561,[1.2677653120347414e-07, 0.0003154954781289974]
42,-0.9362453278073936,[0.2993428533810162, 0.4254623556723677]
43,-0.9999999996399642,[-9.403977777997611e-07, 3.0079357650330204e-06]
44,-0.9999999988261192,[-2.1408716380625875e-07, 5.686570626381514e-06]
45,-0.9999999999997788,[-6.36653517105463e-08, -4.5216294997380164e-08]
46,-0.9999998768894937,[-2.9767517905498572e-06, 5.820043804791773e-05]
47,-0.9362453278079254,[-0.5144194734233241, -0.07743936885212599]
48,-0.9999999975795598,[8.122626382559754e-06, 8.909013746065921e-07]
49,-0.9999999994459733,[3.893720234410887e-06, -3.4990951228226655e-07]
50,-0.9362453250552257,[-0.4175734792419949, -0.31026761239428735]
51,-0.9362452827930903,[0.3714961908270602, -0.36411111172353505]
52,-0.9362453278078453,[0.2982504412533595, 0.4262286317676981]
53,-0.999946308876306,[-0.001217026612892061, 2.713486849284722e-06]
54,-0.9999986049411408,[-6.507429160848739e-10, 0.00019617441306818244]
55,-0.9999999426694106,[-1.5813266647943785e-09, 3.976849923792436e-05]
56,-0.9999781548207469,[-6.067177621702023e-07, 0.0007762922678607133]
57,-0.9975327404434589,[0.0012679678965680369, 0.008155429418565341]
58,-0.9999976656428493,[-3.3081365419232326e-05, 0.00025159835660146755]
59,-0.9362453277012774,[-0.16971240259783765, -0.49175580663665974]
60,-0.9999993642938864,[-0.0001317278802928766, -1.3582697451622717e-05]
61,-0.9999999953406242,[7.736819388370102e-09, -1.1337303216457464e-05]
62,-0.9999856481737933,[-0.0003780765722647912, -0.000502963676394593]
63,-0.9999963402828888,[-1.5143694801987895e-08, 0.00031773863031868627]
64,-0.999998792635497,[0.00013224449188948867, 0.00012576968968504586]
65,-0.9999997710333859,[-7.94752835348168e-05, -1.347557218984832e-08]
66,-0.999998767168538,[-0.00015557403854933718, -9.902462511215721e-05]
67,-0.9999968641181095,[-0.0002939281409566192, 1.0650147492960378e-05]
68,-0.9999966552606127,[2.766466263814471e-05, 0.00030249535993215636]
69,-0.9362453210858998,[-0.5102523957801792, -0.10139708672851588]
70,-0.9362453278079418,[0.4974629508913231, 0.15216714468211173]
71,-0.9999953717622958,[0.00035730610957787206, -2.839941973762451e-06]
72,-0.9999996695600424,[1.1869989816303456e-05, 9.473483727472619e-05]
73,-0.9362453277624067,[0.36503691117606973, -0.37063929476434776]
74,-0.9999965884584068,[0.00030677613986350644, 3.340705428733196e-10]
75,-0.9999998571498615,[3.7812637798892445e-05, 5.010886231431266e-05]
76,-0.9999999776406236,[2.4835667633413467e-05, -3.6868169051865165e-10]
77,-0.9999638760677205,[0.0009982656477204466, -2.2215249755027084e-07]
78,-0.9999998263552075,[-1.6689576944169288e-05, 6.716888770919027e-05]
79,-0.9999959873052896,[-6.262492000779299e-06, -0.0003326499012128656]
80,-0.9947104794365188,[-0.011860908383133658, 0.0023444532817413835]
81,-0.999999385193084,[-1.1868514175946289e-08, -0.00013023131016199826]
82,-0.93624532780221,[0.4879631134439859, -0.18032137937851878]
83,-0.9839863312776486,[0.0003231960125781308, -0.021072420066292147]
84,-0.9999999999999778,[2.3442428071467634e-08, -7.821656190430303e-09]
85,-0.9999999998617407,[-2.907803088470956e-07, 1.931190771075307e-06]
86,-0.9953206399373683,[-0.00020329868846524768, 0.01136871662798467]
87,-0.9999993359082707,[0.00013337122667492245, 2.306278000240025e-05]
88,-0.9999998620697991,[1.4398242804649521e-05, 5.998051216939875e-05]
89,-0.999999852648143,[2.5097042178115323e-06, 6.370698862449933e-05]
90,-0.9999999989539023,[-5.371951815872321e-06, -3.498605397501131e-10]
91,-0.9999991012693836,[-0.00013110412888346114, -8.72025435271703e-05]
92,-0.9993839026472482,[0.0026013477666561036, 0.003198795802732397]
93,-0.9362453278052666,[-0.5093230486097622, -0.10589878220193912]
94,-0.9999999041102358,[-4.7445410411254424e-07, -5.142965929331371e-05]
95,-0.9362453278079418,[0.48178940967774686, -0.19622230477936126]
96,-0.9999999434572681,[1.2133940446636716e-07, 3.9494111064310484e-05]
97,-0.9999792765064774,[0.0005234830836182455, 0.0005455749422874634]
98,-0.9991935038368549,[0.003785149488555699, 0.0028154641748276907]
99,-0.9362450823833384,[-0.31975474899825884, -0.41023483842711084]
100,-0.9899972543504452,[-0.016286456178665087, 0.0034088968166172684]
