Generation,Value,StdDev
0,37.883776995040016,52.519525802063164
1,12.024330216150716,15.830883616251315
2,5.793762831795313,7.821603725889942
3,2.877576697357101,3.4050753908907128
4,1.690051284549006,1.7640561682160196
5,1.1229703670853641,1.3186656010621571
6,0.8094608347642569,1.094616689131202
7,0.5963950188015161,0.8779907859062048
8,0.4093134993300248,0.6934315817160184
9,0.2844600191511601,0.4818039427510026
10,0.2318227834392662,0.466469567291166
11,0.19182642322565743,0.45117089377888636
12,0.15154725743495934,0.36712434259265814
13,0.11974539893906495,0.3264744246345662
14,0.05798958715919967,0.10400342997023947
15,0.049092792118094836,0.09832072966469259
16,0.04049921511488074,0.08359385219628382
17,0.030413168203428084,0.060708017790377086
18,0.024628965848299433,0.05666970016386194
19,0.018044328170821296,0.04046008755625679
20,0.01217113550412486,0.028699117914264608
21,0.010035852076720688,0.023434797355444657
22,0.008119228757386725,0.021828531275473795
23,0.006693939102365212,0.0205759778555816
24,0.004010087929161847,0.010310499017601678
25,0.003261687306455541,0.008947790638420992
26,0.003115911679796704,0.008953516749807667
27,0.0026909588176793537,0.007735997258023041
28,0.0024498688693931968,0.007494576791008016
29,0.002247437765555909,0.0073996508494060245
30,0.002153526414953438,0.0072698502259365945
31,0.0014646113665228522,0.005433052697835855
32,0.0011277734434067804,0.004498383228344006
33,0.0010326946118207618,0.0044205494594368065
34,0.0006086239826045393,0.0017678603088745915
35,0.0005128746921895245,0.001406969578798186
36,0.00040448822762169964,0.0012528863695206761
37,0.0003561551939803506,0.0012278182583296017
38,0.0003363940499386683,0.0012234051829035498
39,0.00023132412885711794,0.0005089254588313327
40,0.0002246328305087419,0.0004962357942988275
41,0.00019106576192352162,0.0004485929148632625
42,0.00018854021670024285,0.0004443834806329686
43,0.0001783204526746408,0.0004281380867196343
44,0.00016927884671766408,0.00041813930843254566
45,0.00015119209615972645,0.00036776883406541296
46,0.00014364724454691365,0.00036052462416134406
47,0.0001394556452816826,0.0003557191811644148
48,0.0001358477791052516,0.0003537573470311313
49,0.00012740908882827713,0.0003357457091770012
50,9.905009505427063e-05,0.000270714761422798
51,9.439435639510056e-05,0.0002695173013276675
52,8.32200701636076e-05,0.000253850772417652
53,8.280397539551781e-05,0.00025360330189350876
54,8.224951841401745e-05,0.00025240137703372214
55,7.411475849222083e-05,0.00024487629511684957
56,7.408278335458313e-05,0.00024488376750415316
57,6.987287644222431e-05,0.00023994694577197828
58,6.976483736953007e-05,0.00023997244897002915
59,6.830127510300541e-05,0.00023996532603075073
60,6.816902381238744e-05,0.00023998978950021439
61,6.506218918351935e-05,0.00023922489950769707
62,6.369837483564788e-05,0.00023923059358619032
63,6.151282513615248e-05,0.0002388920050012885
64,5.946229466904005e-05,0.00023500444735499357
65,5.590281074878722e-05,0.0002340437095685173
66,5.322307590349954e-05,0.0002336253499203873
67,5.1697678150429675e-05,0.00023360296513220418
68,4.039515762957189e-05,0.0002160426561777954
69,4.031145722266964e-05,0.00021605288739455923
70,3.9556331826869054e-05,0.0002160476010175155
71,3.8722696099945744e-05,0.00021610255842112995
72,3.8717218204305545e-05,0.00021610352134820627
73,3.8608175378122466e-05,0.00021611177551770307
74,3.857209890084207e-05,0.00021611743302765165
75,1.8782042461356697e-05,5.400543814237727e-05
76,1.4693866970821925e-05,3.618353097631223e-05
77,1.4666505148287115e-05,3.619239104542859e-05
78,1.3793047378621703e-05,3.570887622593173e-05
79,1.2894101591831407e-05,3.504341491902281e-05
80,1.278922517712983e-05,3.506009967873152e-05
81,1.2390116408135582e-05,3.476096214649447e-05
82,1.2373331414086981e-05,3.476633150487994e-05
83,1.2372005029149973e-05,3.476679563951671e-05
84,1.2330666556375882e-05,3.477798796372572e-05
85,1.186706246825727e-05,3.421944776773397e-05
86,1.017929018637495e-05,2.893801198338919e-05
87,1.013999279306694e-05,2.8946149387720568e-05
88,9.679433669787755e-06,2.88995803234657e-05
89,9.649679248105702e-06,2.890138504685687e-05
90,9.648914794673253e-06,2.890163906774091e-05
91,9.636536738056324e-06,2.8905413607931818e-05
92,9.59721874399292e-06,2.891499633545828e-05
93,9.597162755507601e-06,2.8915002143689272e-05
94,9.592607755766917e-06,2.8916485519064262e-05
95,8.803457537242141e-06,2.796558608314513e-05
96,7.422324643471649e-06,2.3267914254424123e-05
97,6.726216451128976e-06,1.9627540073913268e-05
98,6.7181234453808145e-06,1.962773444558034e-05
99,6.717681490268053e-06,1.9627884622599318e-05
