Metric,Value
Total Execution Time (s),51.648521184921265
Success Rate (%),100.0
Average Best Fitness,6.717681490268055e-06
Best Solution Found,4.802642593353976e-13
Chromosome for Best Solution,[1.0000000663278827, 1.000000291689727]
Mean of Optimal Points,[0.9999833644398154, 0.999974880760946]
Standard Deviation of Optimal Points,[0.0002697208770926505, 0.0003968642486789746]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_CR80
