Metric,Value
Total Execution Time (s),7.677159309387207
Success Rate (%),56.00000000000001
Average Best Fitness,-0.9931908895358181
Best Solution Found,-0.9999921460434982
Chromosome for Best Solution,[0.0004060525415089389, 0.00022755828639975384]
Mean of Optimal Points,[0.009448725239943735, 0.011415143329520601]
Standard Deviation of Optimal Points,[0.02174252999255635, 0.04671230014156367]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,30
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.9
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,10
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExperiment_MR90
