Metric,Value
Total Execution Time (s),30.01257300376892
Success Rate (%),97.0
Average Best Fitness,-0.9980541255619318
Best Solution Found,-0.999999904317183
Chromosome for Best Solution,[1.8488543765848853e-05, 4.793432823313459e-05]
Mean of Optimal Points,[0.012450211513106747, 0.009985974957242936]
Standard Deviation of Optimal Points,[0.06914194381197107, 0.055535103161927196]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,30
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP30
