Metric,Value
Total Execution Time (s),33.51574444770813
Success Rate (%),97.0
Average Best Fitness,-0.9980491125874156
Best Solution Found,-0.9999999969696611
Chromosome for Best Solution,[6.709102920776644e-06, 6.21156136071388e-06]
Mean of Optimal Points,[0.009249406531362317, 0.011833982989987866]
Standard Deviation of Optimal Points,[0.056814459944976844, 0.06832000149425402]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,50
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP50
