Metric,Value
Total Execution Time (s),23.280664443969727
Success Rate (%),61.0
Average Best Fitness,-0.9765077381796405
Best Solution Found,-0.9999999980487908
Chromosome for Best Solution,[4.364331368966745e-06, 5.897378347996529e-06]
Mean of Optimal Points,[0.12829548483089265, 0.11882233453856207]
Standard Deviation of Optimal Points,[0.1875383239371686, 0.17800172812057946]

CONFIGURATION
POPULATION_SIZE,100
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,TournamentSelection
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,SinglePointCrossover
CROSSOVER_RATE,0.8
MUTATION_METHOD,RandomMutationOnIndividualGenes
MUTATION_RATE,0.5
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,0
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
IDENTIFIER,Drop-WaveExp_EP0
