Execution,BestFitness,BestSolution
1,-0.9362450635007445,[0.37602324847305746, 0.35961452618643486]
2,-0.9362452742105831,[0.4868551423653854, 0.18318006422639566]
3,-0.9362452944341083,[0.06037778351606382, 0.51673145063196]
4,-0.9997772298164763,[0.0024125814018182146, 0.0005703463091827343]
5,-0.9999606208488068,[0.0009835122746425506, 0.0003450208350963546]
6,-0.9988207631579994,[0.0018945092851735401, 0.0053809283691780285]
7,-0.9999120848350207,[0.001324840115082604, 0.0008186062354959001]
8,-0.9999834678043705,[0.0006595276651604198, 0.0001452114274979044]
9,-0.9999923033771796,[0.0004059550493916708, 0.00021799466943284163]
10,-0.9999673907664978,[0.00016926014592211214, 0.0009332341138471589]
11,-0.9362452617062365,[0.1588003463424973, 0.49533901882172016]
12,-0.9999168871280301,[0.0003444771458099849, 0.0014745061347483102]
13,-0.9362453231027575,[0.5168415057009819, 0.059049387500754724]
14,-0.9676169322747971,[0.005390969837280157, 0.029565943386105187]
15,-0.999960814767511,[0.0010155479858606764, 0.000222819291955223]
16,-0.9999863611938294,[0.0006066413110958901, 9.07246984329646e-05]
17,-0.9362451343763011,[0.06389725611240826, 0.5163525484806414]
18,-0.9999731789031431,[0.0004972822297302226, 0.0007018613623910319]
19,-0.9999732090460742,[0.00015241233690010958, 0.0008460720557300627]
20,-0.9362451876319964,[0.2921034959229877, 0.43038690266972324]
21,-0.9999475565347905,[0.0010082573216944057, 0.0006558650177383996]
22,-0.9999956929798077,[0.00034341727483655493, 2.9649574012413638e-05]
23,-0.9982923396248048,[0.005480029081260329, 0.004135719928023529]
24,-0.9999887512475898,[7.196641497864142e-05, 0.0005523879235216356]
25,-0.9999987383683157,[0.00017017587042378324, 7.644488563385288e-05]
26,-0.9998456578310138,[0.00019292439250173654, 0.0020544380674332174]
27,-0.9999593627489681,[0.000549154015535791, 0.0009052473545009265]
28,-0.999996148107007,[0.0001279909217595243, 0.000299795894528998]
29,-0.9362450896340891,[0.3658922764227637, 0.36967537286366514]
30,-0.9996637551232814,[0.0015506702508297776, 0.0026214861349505014]
31,-0.9932217520897196,[0.007119973243431388, 0.011692693963157863]
32,-0.9362445454929798,[0.4258913442443537, 0.29899639552691915]
33,-0.9999454393984482,[0.0005316658284795217, 0.0011056577471986184]
34,-0.9362453277145536,[0.2581925484647476, 0.45161832226521825]
35,-0.9974166208762273,[0.0036771732350515673, 0.007603019687491108]
36,-0.9999331035934572,[0.0008328172241484078, 0.0010732544062505012]
37,-0.9362453198103671,[0.4827091928305631, 0.1939897968548988]
38,-0.9362451949971451,[0.3244427490136438, 0.4067262555988693]
39,-0.9993374573947761,[0.003412258050340733, 0.002576353681471355]
40,-0.9362453096788237,[0.22208520591079428, 0.4704023095512586]
41,-0.9999905591062702,[0.00043521787495182096, 0.00026650454842047644]
42,-0.9362450770398877,[0.4634485808574613, 0.2361147535729683]
43,-0.9362452599609408,[0.1802708252332753, 0.4880299150565691]
44,-0.9998465947989839,[0.001833527045912331, 0.0009328794689231756]
45,-0.9999955839747923,[9.514614394556808e-05, 0.00033581062654663985]
46,-0.9999990310713381,[0.00010277214480414187, 0.00012714936681024192]
47,-0.9362450858684845,[0.2814782686367898, 0.4373857988725761]
48,-0.9999686081590483,[0.0005809496169508765, 0.000726972136045223]
49,-0.9999880930173175,[3.697954950476756e-05, 0.000571928591226234]
50,-0.9362453193842804,[0.5099446786405162, 0.10294197869769672]
51,-0.9949832465715366,[0.009561554845325948, 0.0068704824688301525]
52,-0.9362453064660734,[0.2834810718490046, 0.4361612188248607]
53,-0.9362412537324059,[0.34509253884086777, 0.3897385325372298]
54,-0.9362453274607873,[0.41387859984379305, 0.31515933006545394]
55,-0.9999197820335141,[0.0014688406779859164, 0.00023553358177974548]
56,-0.999989131623672,[0.0005435784046848857, 6.588542856522661e-05]
57,-0.9999569297337992,[0.0008569149427535283, 0.0006736907540917381]
58,-0.9362427767903503,[0.4744112788191631, 0.21277423871104906]
59,-0.9999768554492667,[0.0007291958694158884, 0.0003267242094643352]
60,-0.9989427176290152,[0.0006881389159770768, 0.0053575396726924795]
61,-0.9999995747551187,[0.00010369703415591403, 3.127011441261818e-05]
62,-0.9999873257936526,[0.0004869285181636762, 0.0003354629400161846]
63,-0.9362453272756769,[0.4997712508062321, 0.14441968916239978]
64,-0.9999824517385096,[0.0004803735899725492, 0.0005033229952420282]
65,-0.9999502715574656,[0.0008735159477000209, 0.0007802639883406348]
66,-0.9999715005828382,[0.0004244497424803484, 0.0007784861944799548]
67,-0.9999886418815734,[0.0005012543807858538, 0.00024914382418250725]
68,-0.9999388231984021,[0.0006004245326238777, 0.0011520247139745754]
69,-0.9362453129519439,[0.5134858589448883, 0.08327498876029082]
70,-0.9999999177295769,[3.445873287444279e-05, 3.289566394804044e-05]
71,-0.9999726224391909,[0.0005744465862086434, 0.000652120477055429]
72,-0.9999939950488683,[0.000398201723143643, 8.419944118676082e-05]
73,-0.9362450365000708,[0.49048947246063523, 0.17305456168682776]
74,-0.99994339167554,[0.0005888526400490424, 0.0011022210264435284]
75,-0.9999893835876358,[0.0005384686966850571, 5.402827284273215e-05]
76,-0.9362453223926386,[0.5104690471415247, 0.10029320900297045]
77,-0.9362447545921767,[0.4094085778403612, 0.3207391305248881]
78,-0.999881715900649,[0.001163320511633703, 0.0013819640299657099]
79,-0.9362433657838871,[0.20214244169226792, 0.479074582890458]
80,-0.9999981577746834,[0.00020848451324118056, 8.575691167911348e-05]
81,-0.9999866328140203,[0.0006049338096546508, 5.297828302208707e-05]
82,-0.9362452782164027,[0.4965577170329335, 0.1552238734149135]
83,-0.9362452999719776,[0.35444059613445433, 0.3808226642968042]
84,-0.9999751473907292,[6.805573249046848e-05, 0.0008252050397432598]
85,-0.999959922679259,[0.0004041641380683192, 0.0009706943307625782]
86,-0.9998492413525071,[0.0015481384969356915, 0.0013275303757005474]
87,-0.9998980361270127,[0.0011901042655725336, 0.0011817548830396207]
88,-0.9362453213087323,[0.2629701316154335, 0.44887118600224885]
89,-0.999877247770223,[0.0014595638723001736, 0.0011207503017909293]
90,-0.9362453273924055,[0.2883766574649118, 0.4329659213243784]
91,-0.9999999980487908,[4.364331368966745e-06, 5.897378347996529e-06]
92,-0.9999979981188162,[2.710884717094242e-05, 0.00023342976680473804]
93,-0.9999975999519223,[0.00012650895839594334, 0.0002240619548590228]
94,-0.9362450241634419,[0.4609776251907517, 0.24088464587862823]
95,-0.9999501221448869,[0.0010233843318137037, 0.0005732786197829576]
96,-0.9999248956701011,[0.001031011171044427, 0.0010044460060236737]
