Metric,Value
Total Execution Time (s),113.43129873275757
Success Rate (%),87.0
Average Best Fitness,-0.9922297467129111
Best Solution Found,-1.0
Chromosome for Best Solution,[2.4388040545491236e-10, 8.44684146518145e-10]
Mean of Optimal Points,[8.478836201469852e-05, -3.993713372039226e-05]
Standard Deviation of Optimal Points,[0.0004835791024148683, 0.00047994617813158026]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.05
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExperiment_MR5
