Generation,Value,StdDev
0,35.28023373640598,50.51963990747842
1,10.53374094945422,14.962786385793875
2,5.592715731814942,9.907401295552756
3,1.947333609710265,3.3468435885458905
4,1.0624597588367188,1.5996482368450535
5,0.5582461408488684,0.7228664393466324
6,0.3888529455916921,0.4581972119548046
7,0.29567705612489553,0.3554871190020307
8,0.21453640433058138,0.2411598706621243
9,0.15299809186983693,0.2024222743764952
10,0.11598715481859118,0.16475895907258278
11,0.10178867980937416,0.162244866906542
12,0.06414931514209356,0.10288800847273437
13,0.05231803201752367,0.09366479515148304
14,0.03776521639058189,0.08534286320157729
15,0.026657036513338478,0.06542953065142296
16,0.02058528919089595,0.046308873020055936
17,0.014076700802245662,0.03560571745838529
18,0.01070412335803439,0.029492694208600068
19,0.00800014451181063,0.02146303326458868
20,0.007098848481672599,0.017577052366726305
21,0.005423989493245038,0.014840021853633976
22,0.004755201332720386,0.012727241724890256
23,0.0035333322173158863,0.010532967771468725
24,0.0030443123706992785,0.009710675144935132
25,0.0021234544935406236,0.005539544362313377
26,0.0019594116865268873,0.005415064133074187
27,0.001570165080088421,0.0042357666735625315
28,0.0014381826635572542,0.004098940834879054
29,0.0010457910205441791,0.0024648096154514525
30,0.0007744845868222775,0.0016506296949583116
31,0.0007278764677753382,0.0016476020056120585
32,0.0006896044653537931,0.0015857739610855269
33,0.0006520728297844346,0.0015738416363634865
34,0.000619395108813444,0.0015712372276033262
35,0.0005531656990887386,0.0015118959162071853
36,0.0005295606075529039,0.001510516734301795
37,0.000502942334736773,0.0015063204809011835
38,0.0003206397166030694,0.001156171482044073
39,0.0003136889005707185,0.0011565248740432435
40,0.00029967536062241583,0.0011516534123660405
41,0.0002789693448256065,0.0011364160178592678
42,0.0002621005535119355,0.0011285267144603177
43,0.00025775268265040076,0.0011285000878046292
44,0.00024944121369946984,0.001129011796392014
45,0.00023810840300967314,0.0011261051702656396
46,0.00022420363283576965,0.0011244980307236478
47,0.0002143745557543355,0.0010754720869877827
48,0.00012451472194941902,0.0003204266764862065
49,0.00011650644017369353,0.0003106343814051451
50,9.88591020785447e-05,0.00027397240361251796
51,8.812807692828755e-05,0.00024440712725059204
52,8.388039948251578e-05,0.000242042161060118
53,7.536837713389249e-05,0.00023131942795714773
54,7.491533744432141e-05,0.00023133082667121176
55,7.211755532055283e-05,0.00023012801343513247
56,6.265263768672768e-05,0.00020139634834876512
57,4.5944040850665453e-05,0.00012901801575138092
58,4.4185886554609725e-05,0.00012861809156562855
59,3.9892538062183645e-05,0.00011239507479967703
60,3.5930222495028284e-05,0.00010749948393649074
61,3.214024926364741e-05,0.00010171827333547354
62,3.1511561194224294e-05,0.00010180678684470908
63,3.131543362959646e-05,0.00010183918429945186
64,3.1296004597997825e-05,0.0001018386012803387
65,3.083546263526087e-05,0.00010188378537770756
66,3.073113205610115e-05,0.00010190549751496454
67,3.065186810966845e-05,0.00010192451196061703
68,3.059553661102547e-05,0.00010193955425367617
69,3.059544699208497e-05,0.000101939573842652
70,3.058516026369544e-05,0.00010194258794362802
71,3.0545925621174136e-05,0.00010190642725616413
72,3.051664625454755e-05,0.00010190807487573861
73,3.0421009977582683e-05,0.00010192052419589645
74,2.6762499295179365e-05,8.841765060452782e-05
75,2.6705282041465076e-05,8.837315802289124e-05
76,2.6388299315950296e-05,8.790813167070305e-05
77,2.5445524957913488e-05,8.73180993080429e-05
78,2.5441387369020855e-05,8.731815474331361e-05
79,2.5439077382526563e-05,8.731881719475848e-05
80,2.5197119503284255e-05,8.736511585030392e-05
81,2.404319928638851e-05,8.683864457930592e-05
82,2.4008901501106293e-05,8.684745908502613e-05
83,2.2965547168364486e-05,8.650132296294965e-05
84,2.296547897795428e-05,8.650134105897122e-05
85,2.235783131604944e-05,8.618613579835663e-05
86,2.13304888265955e-05,8.553061560265735e-05
87,2.069758760394808e-05,8.554457497874347e-05
88,2.0631664497395276e-05,8.55580784955212e-05
89,1.557920931973524e-05,6.339845222002024e-05
90,1.5067118882813445e-05,6.335362212639128e-05
91,1.5066704460230148e-05,6.335371979938163e-05
92,1.1021081013280001e-05,4.078877772100372e-05
93,1.090471216755141e-05,4.0796559595772925e-05
94,7.609632533963375e-06,2.138732347330745e-05
95,7.378260325691435e-06,2.1012756111294894e-05
96,6.747401141539091e-06,2.0282039438534114e-05
97,6.683115558696525e-06,2.0286644024649557e-05
98,6.552446645986341e-06,2.0215346480623213e-05
99,6.262022127793412e-06,1.9027915786627706e-05
