Metric,Value
Total Execution Time (s),57.57697606086731
Success Rate (%),100.0
Average Best Fitness,6.262022127793411e-06
Best Solution Found,9.843054514000198e-15
Chromosome for Best Solution,[0.9999999895821257, 0.9999999903045482]
Mean of Optimal Points,[1.0000166359933704, 1.000058596135597]
Standard Deviation of Optimal Points,[0.00025798412918568646, 0.0005053260415023057]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExperiment_MR10
