Metric,Value
Total Execution Time (s),98.95973777770996
Success Rate (%),87.0
Average Best Fitness,-0.9924922223968047
Best Solution Found,-1.0
Chromosome for Best Solution,[-8.958218660318589e-10, -1.4088726616697334e-10]
Mean of Optimal Points,[6.207775612158132e-05, -0.0001100970356825456]
Standard Deviation of Optimal Points,[0.00036873144562788227, 0.0009516617488339543]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,200
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Drop-Wave
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[0, 0]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,Drop-WaveExp_EP10
