Execution,BestFitness,BestSolution
1,-0.9362453250862769,[0.40276123535769803, -0.329238961854033]
2,-1.0,[-1.3958852765745515e-09, -4.544971627525049e-10]
3,-1.0,[1.188120947207139e-09, 2.829140722299705e-10]
4,-0.9999999999999964,[-5.073238319055435e-10, 9.988154716227531e-09]
5,-1.0,[-7.735843765495759e-10, 6.050768599989803e-10]
6,-1.0,[-1.0560175296346928e-09, 7.615814443087084e-10]
7,-1.0,[-3.5888132050423606e-10, 5.811262836860024e-10]
8,-1.0,[1.336892989448679e-09, -5.482496939000132e-10]
9,-0.9999999997403448,[7.31134939978259e-08, -2.6753601863415504e-06]
10,-1.0,[3.7250432299658576e-11, -1.0148418833527362e-09]
11,-1.0,[2.1662676983801218e-10, 8.197724998904212e-10]
12,-1.0,[-1.1130010171045219e-11, -9.335246212989848e-10]
13,-1.0,[1.3361845898877777e-11, 1.3888462050617e-09]
14,-1.0,[1.2992376546134553e-10, 1.2266209187243349e-09]
15,-1.0,[-3.2321338343002877e-10, -1.0660703400801708e-09]
16,-1.0,[-1.4520339991525134e-10, -1.3425674554034112e-09]
17,-0.9999999999999996,[-2.7343859498141524e-09, -2.5337553505501168e-09]
18,-0.9999999998469422,[-3.698005828684077e-07, 2.0212693510868445e-06]
19,-1.0,[9.737216068783653e-10, 1.0024495137484683e-09]
20,-1.0,[9.249492447764218e-10, -9.544743787274546e-10]
21,-0.9999889831054217,[0.000551285277340885, -6.364328250720881e-10]
22,-0.999995824425951,[-0.00033938348976558785, 2.6940568741632057e-06]
23,-1.0,[2.395437638951457e-10, 7.000025037743431e-10]
24,-0.9999951411198656,[9.474771563196194e-10, 0.00036611240251066464]
25,-0.999999997961706,[-3.6587894639635024e-10, 7.49858651586348e-06]
26,-0.9999999999886283,[5.480736923887222e-08, -5.574034539574902e-07]
27,-1.0,[5.209461205126096e-10, 8.702262099621628e-11]
28,-1.0,[-5.661980743883824e-11, -5.271511590555173e-10]
29,-1.0,[5.4443727714703806e-11, -8.007210098080818e-10]
30,-1.0,[-8.212397109099852e-11, 3.3718977134467903e-10]
31,-1.0,[9.744547731977587e-10, 3.7261797228433097e-10]
32,-0.9362453274982223,[0.47024872242124294, 0.22245723724502667]
33,-0.9999999999999477,[-3.795397797869848e-08, -5.333404926214032e-13]
34,-1.0,[-1.0415047114930886e-09, 9.821882221673673e-10]
35,-0.999999999999998,[8.46735839431911e-10, -7.319552256127098e-09]
36,-0.999999999995157,[1.132919437902645e-11, -3.6551584395964075e-07]
