Metric,Value
Total Execution Time (s),49.154149532318115
Success Rate (%),100.0
Average Best Fitness,7.268079042260288e-06
Best Solution Found,2.4297301516733986e-18
Chromosome for Best Solution,[1.0000000001053546, 1.0000000011969514]
Mean of Optimal Points,[1.0000191916148697, 1.0000423331021095]
Standard Deviation of Optimal Points,[0.000276977239385058, 0.0005848950437874454]

CONFIGURATION
POPULATION_SIZE,200
GENERATION_COUNT,100
CHROMOSOME_LENGTH,2
LOWER_BOUND,-100
UPPER_BOUND,100
FITNESS_FUNCTION_SELECTION,Levi
SELECTION_METHOD,Random
SELECTION_TOURNAMENT_SIZE,10
CROSSOVER_METHOD,Random
CROSSOVER_RATE,0.8
MUTATION_METHOD,Random
MUTATION_RATE,0.1
OPTIMIZATION_METHOD,Elitism
OPTIMIZATION_METHOD_NUMBER_ELITES,20
NUM_EXECUTIONS,100
OPTIMAL_SOLUTION,[1, 1]
TOLERANCE,0.01
ENABLE_FITNESS_FUNCTION_VISUALIZATION,False
IDENTIFIER,LeviExp_EP10
