Generation,Value,StdDev
0,38.6056536166744,44.663849502865965
1,21.088825413477522,26.256263924450565
2,13.224857999138942,12.420708242272934
3,9.209577132942737,8.58485186563886
4,7.550934271112112,7.694989232601597
5,6.142000860269792,6.643090428506694
6,4.7772304856962045,5.848930335691223
7,3.665364855561228,4.9035507572056645
8,2.8438163769564424,4.391664707724677
9,2.151161667916739,3.6841131150482473
10,1.7000795550739856,3.094754647959291
11,1.2552922577763217,2.294023065924454
12,1.0351574252923057,2.1054742661360657
13,0.8126763648720204,1.7159885270291484
14,0.5117540227577698,0.9656887131180629
15,0.43282258323850686,0.8744994421506885
16,0.3521274595018344,0.8002022259195886
17,0.3008378441494066,0.7831007986582046
18,0.2067264643602422,0.6024661812429843
19,0.15110662316551685,0.47090995944999303
20,0.12685749016411513,0.45343306956396817
21,0.10371731040098199,0.37310843670767374
22,0.06176519969417796,0.1950468852915128
23,0.036537081353245,0.0971624491088582
24,0.030206462916808195,0.09303215400664959
25,0.023400992854812133,0.06451211527678195
26,0.01331408669184908,0.045143349826453086
27,0.011820108433749341,0.04312107967861566
28,0.006456857371341594,0.022762817163117427
29,0.004466731321309361,0.019009314984653275
30,0.004091685532403448,0.01877157081968585
31,0.003605090656188979,0.018336467904212287
32,0.003433438866555983,0.018334816318988013
33,0.0033855882340334165,0.018274861033276597
34,0.0031068786699000282,0.0181039282327377
35,0.0030040694093721493,0.01810510355287045
36,0.0022074764863840067,0.01476788508014418
37,0.002027783910210959,0.01448926216720184
38,0.0019054900455027465,0.014101764457276424
39,0.001777756965513622,0.014069075194665454
40,0.001760962097130694,0.01406630429856299
41,0.0004081899725064888,0.0014473204524552798
42,0.0004010394081330857,0.0014482581291884163
43,0.00036797543764718486,0.001440772485267299
44,0.0002507258205192492,0.0011208961340755353
45,0.0002397354426537775,0.0011148101314644443
46,0.0002297218684517565,0.0010866522214959227
47,0.0002234120079301389,0.0010860684481651423
48,0.00022308961785672533,0.0010861288015522957
49,0.0002212161044454202,0.0010863071825382797
50,0.00022034053421187135,0.0010864175362265756
51,0.00019673310467908887,0.0010419373574621375
52,0.00017282330449847486,0.0009713195791660998
53,0.0001690074298665486,0.000962586638579957
54,0.00016740548949691617,0.0009625293923778828
55,0.00014160331972364732,0.0009292199018269655
56,0.00013904219444518755,0.0009285727068060023
57,6.201244124040859e-05,0.00023048946392849087
58,6.19416988553412e-05,0.00023048384116894623
59,6.185462178014442e-05,0.00023050560232371889
60,5.955684595841975e-05,0.00022553564316949936
61,5.8905249721588676e-05,0.00022561559046467862
62,5.888912730909617e-05,0.0002256196726468045
63,5.709940206639027e-05,0.0002150166607042155
64,5.664862502233439e-05,0.00021508442378557064
65,5.583505689756235e-05,0.00021496132535183472
66,4.0267027007821095e-05,0.0001459394800502995
67,3.579404509372999e-05,0.00014361266791663893
68,3.523536995532446e-05,0.00014367537151506219
69,3.0770728885124476e-05,0.00010886028616391269
70,1.7728218799150232e-05,4.2768983484608356e-05
71,1.6666166526041474e-05,4.20077840122802e-05
72,1.65864996809048e-05,4.203608325295237e-05
73,1.658565993996933e-05,4.2036374207043663e-05
74,1.6564613903053534e-05,4.20441354147096e-05
75,1.634343746355575e-05,4.209619940504382e-05
76,1.45370588937411e-05,3.757972272503386e-05
77,1.4536926399103315e-05,3.757974655310938e-05
78,1.449078058551126e-05,3.7549206085046234e-05
79,1.4184211431407308e-05,3.7392681856332414e-05
80,1.3672422908635299e-05,3.7356255575115114e-05
81,1.3614538635751258e-05,3.737367800328351e-05
82,1.3601960544393573e-05,3.737708276139532e-05
83,1.33531884737588e-05,3.734809161001935e-05
84,1.3337168164990204e-05,3.735335474754848e-05
85,1.32700918909998e-05,3.736978888778661e-05
86,1.3269671688276752e-05,3.736993677207891e-05
87,1.3251454480604401e-05,3.737609112592917e-05
88,1.3240091338200277e-05,3.738000545194335e-05
89,1.2484371545096243e-05,3.6609166577192945e-05
90,1.2353487369992969e-05,3.661425686151683e-05
91,1.2334727753564277e-05,3.661882142114617e-05
92,1.2334699981896103e-05,3.6618830769739745e-05
93,1.2330795437046172e-05,3.662007609594864e-05
94,1.232571250350293e-05,3.6621756925215e-05
95,1.2281247813084228e-05,3.663398859662375e-05
96,1.2280864366612249e-05,3.663408244864212e-05
97,1.1217031752612295e-05,3.45022119140509e-05
98,1.1088021593785072e-05,3.4488458729887496e-05
99,1.0873428498978745e-05,3.4164184990930886e-05
