Execution,BestFitness,BestSolution
1,6.123972379954451e-08,[1.0000261080314299, 1.0000033751157769]
2,1.1173548193944597e-08,[1.0000075984378485, 1.0000773776730585]
3,5.095453828018625e-05,[1.0007531698886816, 1.0000000003097012]
4,6.461089963236725e-10,[0.9999999999697359, 1.0000254186738395]
5,7.5309776400651e-05,[1.0009156487703967, 1.0000000097210666]
6,1.7265207999965457e-09,[0.9999998448087088, 1.0000415253810624]
7,1.5680538031829056e-07,[1.0000389124147475, 1.0001441954421348]
8,1.1691736287712785e-08,[1.0000079265318997, 1.0000777685533329]
9,6.553202343158724e-08,[0.9999765283640534, 0.9998733309891501]
10,2.412345187770313e-07,[0.9999481778807644, 0.9999983398955001]
11,9.479477867352534e-15,[0.9999999997786628, 0.9999999026599915]
12,4.307496133013366e-05,[0.9993075101632465, 0.9999999992544515]
13,6.88196397805367e-07,[0.9999124705593483, 1.0000000001785954]
14,7.430619986671227e-09,[1.0000087129445316, 1.0000247266995934]
15,6.441658131179059e-05,[0.9991531630342185, 1.000021059724263]
16,5.813916055443473e-08,[0.999980335756016, 0.9998470136376989]
17,3.1967100730657677e-06,[0.9998115635642804, 1.0000844397403315]
18,1.2590718219086857e-09,[0.9999962985374369, 0.9999946731356931]
19,4.717501526547265e-08,[0.9999770832020951, 0.9999999965103199]
20,1.2298228333459122e-12,[0.9999998829923371, 0.9999999947440978]
21,2.823504944424961e-09,[1.0000038427980493, 1.000038691460575]
22,2.7362589599659135e-08,[0.9999829026620555, 0.9999667642073986]
23,7.854296387110866e-07,[1.0000935086095302, 1.0000001499659472]
24,6.206010440522072e-07,[0.9999168802722314, 1.0000005060609802]
25,9.923486189071016e-13,[1.0000000009725039, 1.0000009961243217]
26,6.901303948192033e-09,[0.9999977335872219, 0.9999197510286435]
27,2.3455294072300704e-11,[0.9999994890030028, 1.0000000000745197]
28,7.061910737777774e-15,[1.0000000000425677, 0.9999999159657929]
29,1.739977509088969e-07,[1.0000440118462979, 0.9999996545442245]
30,1.0320749062727662e-09,[0.99999661036047, 1.0000000017250814]
31,2.7242010848878733e-06,[0.9998258523253702, 0.9999999033956133]
32,1.1985325911977662e-07,[1.0000365277429923, 1.0000000231536381]
33,4.829255404433719e-09,[1.0000073056108598, 0.9999940802732341]
34,7.188823253493214e-07,[1.0000894595812206, 1.0000000000340181]
35,2.597557264896918e-09,[1.0000051530734206, 0.9999854297870683]
36,6.221084012126743e-14,[1.0000000262933457, 0.9999999895010909]
37,2.710380704724913e-07,[1.0000006589707677, 0.9994794270802618]
38,2.3936999281108294e-06,[0.9998367576167069, 0.9999998186681827]
39,1.1823070808169048e-06,[0.9999117983758063, 1.0006953348179628]
40,3.728329051551075e-07,[1.0000001613622855, 0.9993894059623145]
41,9.252892636673744e-10,[1.0000032094947415, 0.9999999998566664]
42,0.0001434594672138522,[1.0012637834632006, 1.0000000376814484]
43,2.040003525083027e-16,[0.9999999986612043, 0.9999999934427335]
44,5.807340997839309e-07,[0.9999195943417025, 0.9999999999852807]
45,4.151919876055994e-07,[1.0000679864584092, 1.000000000000211]
46,5.78032601966178e-07,[0.9999209489633372, 0.999870766494211]
47,1.409451071263856e-05,[1.0003961173875375, 0.9999998383955676]
48,1.6162504073097321e-07,[0.9999629287396472, 1.0001953930725662]
49,4.624892456979838e-07,[1.0000000000000961, 0.999319940589529]
50,2.0586043227795815e-06,[1.0001513855704218, 1.0000003259920511]
51,4.4854013449616484e-08,[0.9999776540632814, 1.000000000008893]
52,3.4971602925579657e-10,[0.9999995791922867, 0.9999817295419617]
53,3.6620249487645988e-09,[1.0000000486623708, 0.9999394870946985]
54,1.279028620781233e-06,[0.9998806735789343, 1.0000029859633535]
55,1.134598601198298e-06,[1.0001051612689231, 0.9996242114168812]
56,9.845026607964856e-06,[1.0000483150919566, 1.003103494245099]
57,1.1460016194924514e-06,[1.0000050818913542, 0.9989305935474522]
58,3.463219647079629e-06,[0.9998036467154996, 0.9999999956956085]
59,7.026520774565038e-08,[0.9999999999075584, 0.999734924514839]
60,3.131630203850553e-10,[0.9999999999700346, 0.99998230358747]
61,2.19167657518948e-09,[0.9999966167911436, 1.0000341103197863]
62,1.5280788049231507e-07,[1.0000395184799324, 0.999888084822468]
63,2.9597286650078684e-06,[1.0001523192451494, 0.9990642537260459]
64,3.598513825226014e-08,[1.000008473522486, 0.9998281410087393]
65,2.5868869639275857e-07,[1.0000000000237952, 1.0005086118899182]
66,7.04787317466209e-07,[0.9999985194484948, 1.000839387167602]
67,1.1884551623928874e-12,[0.9999999961551573, 1.0000010895537044]
68,4.422855197717756e-11,[0.9999993157323226, 0.9999985269711751]
69,1.6072284853118023e-08,[0.9999999998413379, 1.0001267764751556]
70,1.4378293733617579e-08,[0.999987348972329, 0.9999986935623584]
71,2.139620820612499e-07,[0.99995119743692, 0.9999951678821233]
72,1.5290712933539924e-08,[0.9999940045176301, 0.9998901736683345]
73,7.986588686309733e-06,[0.9999767209372656, 1.0028169885156581]
74,7.008775464509459e-07,[1.0000883321964393, 1.0000000369293096]
75,2.6556117388286294e-05,[0.9994562715264999, 0.9999999055705259]
76,2.2712129839568634e-07,[0.9999497163431335, 1.0000000000722247]
77,2.945735126788395e-06,[0.9998189097942374, 0.999999999138488]
78,6.232172311148934e-08,[1.0000263401132068, 0.9999999894774053]
79,5.346690105452986e-06,[0.9997560442157243, 1.000027028550107]
80,4.4428543815810654e-11,[0.9999993547451904, 0.9999973487800731]
81,3.2891268836306798e-06,[1.0001913544002436, 0.999999972900087]
82,1.9884321114024775e-06,[1.0000777123098714, 1.0012024428423754]
83,9.023390503380553e-08,[1.0000041914904847, 1.0002977506851256]
84,1.5678979567326245e-09,[0.9999999999908803, 0.9999604033099909]
85,6.265556255418643e-08,[1.0000013129585181, 1.0002500011202313]
86,0.0003795794025226614,[1.0020557774409633, 1.0000000003230005]
87,3.664657241626209e-06,[1.000000144388332, 0.9980858094753771]
88,1.9276092553097542e-08,[0.9999853510199936, 1.0000000456275233]
89,1.7265007855435497e-07,[0.9999566214392515, 0.9999398026801911]
90,2.2485399185612528e-10,[1.0000000623805771, 0.9999850165276063]
91,2.414152247187046e-06,[0.9998370190211571, 0.9998323327599261]
92,3.798549558666174e-06,[1.0002056397039594, 0.9999986496551071]
93,2.6765332247331118e-14,[1.0000000172140757, 1.0000000121476922]
94,1.456793152682302e-07,[1.0000340478325376, 0.9997961679464251]
95,1.0112032540933745e-16,[0.9999999999311189, 1.0000000100346467]
96,3.3225703923913e-07,[0.9999391815950787, 1.000000007057817]
97,4.382001391281489e-06,[1.0002208688513654, 0.9999999954826251]
98,2.687102088257504e-07,[1.0000002974412858, 1.0005183622396097]
99,4.090938586574428e-05,[1.0006748578165208, 0.9999999999567235]
100,3.4169756293916815e-08,[0.9999804962172842, 1.0000000000034772]
